index,Category
Larceny Theft,80005
Malicious Mischief,17486
Other Miscellaneous,17168
Assault,14957
Non-Criminal,14868
Burglary,13251
Motor Vehicle Theft,12588
Recovered Vehicle,9834
Lost Property,7516
Fraud,7389
Warrant,6804
Robbery,5423
Missing Person,5226
Drug Offense,5185
Suspicious Occ,5173
Disorderly Conduct,4159
Offences Against The Family And Children,3430
Miscellaneous Investigation,2571
Traffic Violation Arrest,2166
Other Offenses,2118
Other,1975
Weapons Offense,1699
Weapons Carrying Etc,1334
Stolen Property,1203
Case Closure,1004
Forgery And Counterfeiting,792
Courtesy Report,740
Arson,666
Traffic Collision,589
Vandalism,547
Fire Report,371
Embezzlement,341
Civil Sidewalks,250
Sex Offense,247
Prostitution,243
Vehicle Impounded,160
Vehicle Misplaced,121
Suicide,119
Drug Violation,82
Rape,70
Suspicious,37
"Human Trafficking (A), Commercial Sex Acts",32
Motor Vehicle Theft?,29
Homicide,25
Liquor Laws,22
"Human Trafficking, Commercial Sex Acts",10
Weapons Offence,10
Gambling,8
"Human Trafficking (B), Involuntary Servitude",1
